first_name,last_name,email,score,answers
g,g,g,3,
b,b,b,7,
k,l,l,3,
g,g,g,3,
v,v,v,3,
g,g,g,3,
g,g,g,3,
g,g,g,3,
g,g,g,3,
g,g,g,3,
h,h,h,3,
h,h,h,3,
d,d,d,3,
d,d,d,3,
x,x,x,4,
x,x,x,4,
f,f,f,3,
f,f,f,3,
y,y,y,3,
j,j,j,3,
b,b,b,3,
a,a,a,3,
c,c,c,3,
d,d,d,3,
d,d,d,3,
s,s,s,4,
s,s,s,4,
a,a,a,4,
l,l,lllllllllllll,3,
f,f,ffffffffffffff,3
f,f,ffffffffffffff,3
s,s,s,3
d,d,d,3
ssss,ffffffffffffffff,ddddddddddddddddd,4
hiii,heloooo,test@gmail.com,3
jack,smith,jacksmith@gmail.com,3
;fkw;lefm,elmf;,elmfwef,3
f,edwdkl,eflq;efm,3
djild,dkldmd,mdklnmd,3
ljijkl,lkjl,kjjl,3
kl,fls,jjfk@gmail.com,3
